ID_Pregunta,Fuente_Original,Oposicion,Tema,Texto_Pregunta,Opcion_A,Oposicion_B,Opcion_C,Opcion_D,Respuesta_Correcta,Articulo_Justificacion,Texto_Justificacion,URL_Fuente_Oficial,tipo_pregunta
3261,"Examen Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La ley que regula el ejercicio del derecho de petición es de carácter:","Ordinaria","Orgánica","Básica","Autonómica",B,"Artículo 29.1 CE","Todos los españoles tendrán el derecho de petición individual y colectiva, por escrito, en la forma y con los efectos que determine la ley. La ley que lo regula es la Ley Orgánica 4/2001.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3262,"Examen Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","¿Cuál de los siguientes órganos no forma parte de la Administración General del Estado?","Un Ministerio","Una Delegación del Gobierno","Una Consejería de una Comunidad Autónoma","Una Secretaría de Estado",C,"Ley 40/2015","Las Consejerías son los órganos superiores de la administración de las Comunidades Autónomas, equivalentes a los Ministerios en la AGE.","https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566",temario
3263,"Examen Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El recurso administrativo que se interpone contra actos que no ponen fin a la vía administrativa es el recurso de:","Reposición","Alzada","Revisión","Súplica",B,"Artículo 121 Ley 39/2015","Las resoluciones y actos... cuando no pongan fin a la vía administrativa, podrán ser recurridos en alzada ante el órgano superior jerárquico del que los dictó.","https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565",temario
3264,"Examen Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La bandera de la Unión Europea consta de:","12 estrellas doradas sobre fondo azul","15 estrellas plateadas sobre fondo azul","27 estrellas doradas sobre fondo blanco","Una estrella dorada por cada Estado miembro",A,"Símbolos de la UE","La bandera europea está formada por 12 estrellas amarillas dispuestas en círculo sobre fondo azul. El número de estrellas es invariable y simboliza la unidad, la solidaridad y la armonía.","https://european-union.europa.eu/principles-countries-history/symbols/european-flag_es",temario
3265,"Examen Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El Tratado de la Unión Europea actualmente en vigor es el Tratado de:","Maastricht","Niza","Amsterdam","Lisboa",D,"Historia de la UE","El Tratado de Lisboa, firmado en 2007 y en vigor desde 2009, es el que reforma los tratados anteriores y constituye la base jurídica actual de la Unión Europea.","https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=LEGISSUM:ai0033",temario
3266,"Examen Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","¿Cuál de las siguientes instituciones de la UE tiene su sede principal en Luxemburgo?","La Comisión Europea","El Parlamento Europeo","El Consejo Europeo","El Tribunal de Justicia de la Unión Europea",D,"Sedes de la UE","El Tribunal de Justicia de la Unión Europea (TJUE) tiene su sede en Luxemburgo. La Comisión y el Consejo tienen su sede principal en Bruselas, y el Parlamento en Estrasburgo.","https://european-union.europa.eu/institutions-law-budget/institutions-and-bodies/institutions-and-bodies-profiles_es",temario
3267,"Examen Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El personal eventual al servicio de las AAPP es nombrado para funciones de:","Carácter permanente","Confianza o asesoramiento especial","Inspección y control","Gestión de personal",B,"Artículo 12 TREBEP","Es personal eventual el que, en virtud de nombramiento y con carácter no permanente, sólo realiza funciones expresamente calificadas como de confianza o asesoramiento especial...","https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719",temario
3268,"Examen Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La excedencia voluntaria por interés particular exige haber prestado servicios efectivos en las AAPP durante un período mínimo de:","Dos años","Tres años","Cinco años","Diez años",C,"Artículo 89.2 TREBEP","La excedencia voluntaria por interés particular podrá ser solicitada por los funcionarios de carrera siempre que hayan prestado servicios efectivos en cualquiera de las Administraciones Públicas durante un período mínimo de cinco años inmediatamente anteriores.","https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719",temario
3269,"Examen Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","Un acto administrativo dictado por un órgano manifiestamente incompetente es:","Válido","Anulable","Nulo de pleno derecho","Irregular no invalidante",C,"Artículo 47.1.b) Ley 39/2015","Los actos de las Administraciones Públicas son nulos de pleno derecho en los casos siguientes: ... b) Los dictados por órgano manifiestamente incompetente por razón de la materia o del territorio.","https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565",temario
3270,"Examen Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El plazo máximo para resolver un procedimiento, si la norma reguladora no fija otro, es de:","Un mes","Tres meses","Seis meses","Un año",C,"Artículo 21.2 Ley 39/2015","El plazo máximo en el que debe notificarse la resolución expresa será el fijado por la norma reguladora... Este plazo no podrá exceder de seis meses salvo que una norma con rango de Ley establezca uno mayor...","https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565",temario
3271,"Examen Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","¿Cuál es el órgano superior de la Administración General del Estado?","El Subsecretario","El Director General","El Ministro","El Secretario de Estado",C,"Artículo 55 Ley 40/2015","En la organización de la Administración General del Estado son órganos superiores los Ministros y los Secretarios de Estado. El Ministro es el titular del departamento.","https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566",temario
3272,"Examen Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La representación del Gobierno en una provincia corresponde a:","El Delegado del Gobierno","El Presidente de la Diputación","El Subdelegado del Gobierno","El Gobernador Civil",C,"Artículo 74 Ley 40/2015","En cada provincia y bajo la inmediata dependencia del Delegado del Gobierno en la respectiva Comunidad Autónoma, existirá un Subdelegado del Gobierno...","https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566",temario
3273,"Examen Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El derecho a la protección de datos de carácter personal es un derecho fundamental recogido en el artículo:","14 de la CE","18.4 de la CE","20 de la CE","24 de la CE",B,"Artículo 18.4 CE","La ley limitará el uso de la informática para garantizar el honor y la intimidad personal y familiar de los ciudadanos y el pleno ejercicio de sus derechos.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3274,"Examen Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El principio de 'responsabilidad proactiva' en el RGPD significa que:","El responsable del tratamiento debe ser capaz de demostrar que cumple con la normativa.","El interesado es responsable de sus datos.","La AEPD es la única responsable.","Los datos deben ser exactos.",A,"Artículo 5.2 RGPD","El responsable del tratamiento será responsable del cumplimiento de lo dispuesto en el apartado 1 y capaz de demostrarlo («responsabilidad proactiva»).","https://www.boe.es/doue/2016/119/L00001-00088.pdf",temario
3275,"Examen Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La Ley de Transparencia se aplica a:","Solo a la Administración General del Estado","A todas las Administraciones Públicas","Solo a los partidos políticos y sindicatos","A las empresas privadas",B,"Artículo 2 Ley 19/2013","Las disposiciones de este título se aplicarán a: a) La Administración General del Estado, las Administraciones de las Comunidades Autónomas y de las Ciudades de Ceuta y Melilla y las entidades que integran la Administración Local.","https://www.boe.es/buscar/act.php?id=BOE-A-2013-12887",temario
3276,"Examen Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El derecho a la igualdad y no discriminación por razón de sexo se encuentra en el artículo:","9 de la CE","14 de la CE","15 de la CE","23 de la CE",B,"Artículo 14 CE","Los españoles son iguales ante la ley, sin que pueda prevalecer discriminación alguna por razón de nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3277,"Examen Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","Una empresa de 100 trabajadores, ¿está obligada a tener un Plan de Igualdad?","No, solo las de más de 250","Sí","Solo si lo dice su convenio","Es voluntario",B,"Artículo 45.2 LO 3/2007 (modificado)","Las empresas de cincuenta o más trabajadores elaborarán y aplicarán un plan de igualdad...","https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115",temario
3278,"Examen Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El permiso por nacimiento para el progenitor distinto de la madre biológica es:","Transferible a la madre","Individual e intransferible","De menor duración que el de la madre","Depende de la empresa",B,"Artículo 48.4 Estatuto de los Trabajadores","Este derecho es individual de la persona trabajadora sin que pueda transferirse su ejercicio al otro progenitor.","https://www.boe.es/buscar/act.php?id=BOE-A-2015-11430",temario
3279,"Examen Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El presupuesto del Estado tiene carácter:","Bianual","Anual","Trimestral","Indefinido",B,"Artículo 134.2 CE","Los Presupuestos Generales del Estado tendrán carácter anual...","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3280,"Examen Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La fase de la ejecución del gasto que consiste en la salida material de fondos de la Tesorería es:","La ordenación del pago","El reconocimiento de la obligación","El pago material","El compromiso del gasto",C,"Artículo 73.1 LGP","La gestión del presupuesto de gastos... se realizará a través de las siguientes fases: ... e) Pago material.","https://www.boe.es/buscar/act.php?id=BOE-A-2003-21601",temario
3311,"Psicotécnico Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si ORDENADOR es a RODENADOR, ¿cómo es TECLADO a ...?","CELTADO","ETALCOD","CELADOT","TEC LADO",B,"Lógica Verbal","La primera y segunda letra de cada sílaba se intercambian: OR-DE-NA-DOR -> RO-ED-AN-ROD. TE-CLA-DO -> ET-ALC-OD.","https://www.psicotecnicostest.com/",psicotecnico
3312,"Psicotécnico Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué número sigue en la serie: 3, 6, 12, 24, ...?","36","48","30","42",B,"Lógica Numérica","Cada número es el doble del anterior (3*2=6, 6*2=12, 12*2=24, 24*2=48).","https://www.psicotecnicostest.com/",psicotecnico
3313,"Psicotécnico Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","SINÓNIMO de 'Inocuo':","Dañino","Inofensivo","Peligroso","Venenoso",B,"Aptitud Verbal","Inocuo significa que no hace daño. Su sinónimo es inofensivo.","https://www.psicotecnicostest.com/",psicotecnico
3314,"Psicotécnico Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Complete la analogía: 'Martillo es a clavo como destornillador es a...'","Tuerca","Tornillo","Llave","Taladro",B,"Razonamiento Verbal","Un martillo se usa para golpear un clavo; un destornillador se usa para girar un tornillo.","https://www.psicotecnicostest.com/",psicotecnico
3315,"Psicotécnico Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si 5 impresoras imprimen 500 folios en 10 minutos, ¿cuántos folios imprimirá una sola impresora en 6 minutos?","60","100","50","75",A,"Cálculo Numérico","5 impresoras -> 500 folios en 10 min. 1 impresora -> 100 folios en 10 min. 1 impresora -> 10 folios por minuto. En 6 minutos -> 10 * 6 = 60 folios.","https://www.psicotecnicostest.com/",psicotecnico
3316,"Psicotécnico Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué palabra no encaja con las demás?","Mesa","Silla","Armario","Sofá",C,"Razonamiento Abstracto","Mesa, silla y sofá son muebles para sentarse o apoyarse. Armario es para guardar cosas. Aunque todos son muebles, su función principal es diferente.","https://www.psicotecnicostest.com/",psicotecnico
3317,"Psicotécnico Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","ANTÓNIMO de 'Efímero':","Breve","Fugaz","Pasajero","Duradero",D,"Aptitud Verbal","Efímero significa que dura muy poco tiempo. Su antónimo es duradero.","https://www.psicotecnicostest.com/",psicotecnico
3318,"Psicotécnico Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En una oficina hay 120 empleados. El 30% son hombres. ¿Cuántas mujeres hay?","36","84","40","90",B,"Cálculo Numérico","Hombres: 120 * 0.30 = 36. Mujeres: 120 - 36 = 84.","https://www.psicotecnicostest.com/",psicotecnico
3319,"Psicotécnico Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué letra sigue en la serie: A, C, F, J, ...?","M","N","Ñ","O",D,"Lógica Alfabética","La distancia entre letras aumenta en 1: de A a C hay 1 letra (B); de C a F hay 2 (D, E); de F a J hay 3 (G, H, I). La siguiente estará a 4 letras de distancia (K, L, M, N), por lo que es la O.","https://www.psicotecnicostest.com/",psicotecnico
3320,"Psicotécnico Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si un expediente tarda 45 minutos en tramitarse y empiezas a las 9:10, ¿a qué hora terminas?","9:55","10:00","9:50","10:05",A,"Cálculo Numérico","9:10 + 45 minutos = 9:55.","https://www.psicotecnicostest.com/",psicotecnico
3321,"Psicotécnico Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué figura completa la serie? [Imagen de 3 figuras geométricas y 4 opciones]","Opción A","Opción B","Opción C","Opción D",B,"Razonamiento Abstracto","La serie muestra una rotación de 90 grados en sentido horario en cada paso. La opción B es la que continúa la rotación.","https://www.psicotecnicostest.com/",psicotecnico
3322,"Psicotécnico Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","'Todos los opositores estudian. Juan es opositor.' ¿Qué se puede concluir?","Juan no estudia.","Algunos opositores no estudian.","Juan estudia.","No se puede concluir nada.",C,"Lógica Deductiva","Es un silogismo clásico. Si la premisa mayor (Todos los opositores estudian) y la menor (Juan es opositor) son ciertas, la conclusión (Juan estudia) es necesariamente cierta.","https://www.psicotecnicostest.com/",psicotecnico
3323,"Psicotécnico Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Ordene las siguientes palabras alfabéticamente: CASA, CASERÍO, CASCO, CASI","CASA, CASCO, CASERÍO, CASI","CASA, CASERÍO, CASCO, CASI","CASA, CASERÍO, CASI, CASCO","CASA, CASI, CASCO, CASERÍO",B,"Aptitud Verbal","Se ordenan letra por letra. Tras 'CAS', la siguiente letra es A, E, I, C. El orden alfabético es A (CASA), E (CASERÍO), C (CASCO), I (CASI).","https://www.psicotecnicostest.com/",psicotecnico
3324,"Psicotécnico Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si un coche recorre 180 km en 2 horas, ¿cuál es su velocidad media?","80 km/h","90 km/h","100 km/h","120 km/h",B,"Cálculo Numérico","Velocidad = Distancia / Tiempo. Velocidad = 180 km / 2 h = 90 km/h.","https://www.psicotecnicostest.com/",psicotecnico
3325,"Psicotécnico Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Cuántos cubos hay en la siguiente figura? [Imagen de una pila de cubos]","10","12","14","15",C,"Razonamiento Espacial","Hay que contar los cubos visibles y los que están ocultos pero son necesarios para sostener la estructura. Base de 3x3=9. Segunda capa de 2x2=4. Cubo superior=1. Total: 9+4+1=14.","https://www.psicotecnicostest.com/",psicotecnico
3326,"Psicotécnico Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","'Abogar' es a 'defender' como 'disuadir' es a...","Animar","Persuadir","Convencer","Aconsejar en contra",D,"Analogías Verbales","Abogar es sinónimo de defender. Disuadir es intentar que alguien desista de una idea, es decir, aconsejar en contra.","https://www.psicotecnicostest.com/",psicotecnico
3327,"Psicotécnico Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si hoy es martes, ¿qué día será dentro de 10 días?","Jueves","Viernes","Sábado","Lunes",B,"Cálculo y Lógica","Dentro de 7 días será martes de nuevo. 10 - 7 = 3 días más. Martes + 3 días = Viernes.","https://www.psicotecnicostest.com/",psicotecnico
3328,"Psicotécnico Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué número falta en la serie: 5, 10, 8, 16, 14, ...?","28","20","30","24",A,"Lógica Numérica","La serie alterna dos operaciones: x2 y -2. (5*2=10; 10-2=8; 8*2=16; 16-2=14; 14*2=28).","https://www.psicotecnicostest.com/",psicotecnico
3329,"Psicotécnico Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Identifique el error ortográfico:","Exuberante","Excéptico","Exhalar","Exhortar",B,"Ortografía","La palabra correcta es 'escéptico', con 's' y 'c'.","https://www.psicotecnicostest.com/",psicotecnico
3330,"Psicotécnico Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Un artículo que costaba 80€ tiene un descuento del 20%. ¿Cuál es su precio final?","60€","64€","70€","72€",B,"Cálculo Numérico","Descuento: 80 * 0.20 = 16€. Precio final: 80 - 16 = 64€.","https://www.psicotecnicostest.com/",psicotecnico
3331,"Psicotécnico Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","'Aptitud' es a 'capacidad' como 'actitud' es a...","Habilidad","Conocimiento","Disposición","Inteligencia",C,"Analogías Verbales","Aptitud es la capacidad para hacer algo. Actitud es la disposición de ánimo o la forma de actuar.","https://www.psicotecnicostest.com/",psicotecnico
3332,"Psicotécnico Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si reorganizas las letras 'R A P I S', ¿qué ciudad formas?","Prisa","París","Sirap","Aspri",B,"Lógica Verbal","Las letras forman el nombre de la capital de Francia: PARÍS.","https://www.psicotecnicostest.com/",psicotecnico
3333,"Psicotécnico Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Cuál de las siguientes palabras está escrita correctamente?","Preveer","Prever","Proveer","Prebeher",B,"Ortografía","'Prever' (ver con anticipación) se escribe con una sola 'e'. 'Proveer' (suministrar) se escribe con dos 'e'. 'Preveer' es incorrecto.","https://www.psicotecnicostest.com/",psicotecnico
3334,"Psicotécnico Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si 3 bolígrafos cuestan 1.50€, ¿cuánto costarán 7 bolígrafos?","3.00€","3.50€","4.00€","4.50€",B,"Cálculo Numérico","Precio por bolígrafo: 1.50 / 3 = 0.50€. Precio de 7 bolígrafos: 7 * 0.50 = 3.50€.","https://www.psicotecnicostest.com/",psicotecnico
3335,"Psicotécnico Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué palabra significa 'relativo a los sueños'?","Onírico","Hipnótico","Místico","Esotérico",A,"Aptitud Verbal","Onírico es el adjetivo que se refiere a los sueños o a lo relacionado con ellos.","https://www.psicotecnicostest.com/",psicotecnico
3336,"Psicotécnico Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Cuántos minutos son 2.5 horas?","125","150","160","180",B,"Cálculo Numérico","2 horas = 120 minutos. 0.5 horas (media hora) = 30 minutos. Total: 120 + 30 = 150 minutos.","https://www.psicotecnicostest.com/",psicotecnico
3337,"Psicotécnico Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","'Eficiente' y 'eficaz' son:","Sinónimos","Antónimos","No son sinónimos exactos","Parónimos",C,"Aptitud Verbal","No son sinónimos. 'Eficaz' es lograr el resultado esperado. 'Eficiente' es lograr el resultado con el mínimo de recursos posibles. Se puede ser eficaz pero ineficiente.","https://www.psicotecnicostest.com/",psicotecnico
3338,"Psicotécnico Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Si un tren sale a las 14:40 y llega a las 16:15, ¿cuánto dura el viaje?","1 hora y 25 minutos","1 hora y 35 minutos","1 hora y 45 minutos","95 minutos",B,"Cálculo y Lógica","De 14:40 a 15:00 van 20 minutos. De 15:00 a 16:00 va 1 hora. De 16:00 a 16:15 van 15 minutos. Total: 1 hora y (20+15) = 35 minutos. 95 minutos también es correcto.","https://www.psicotecnicostest.com/",psicotecnico
3339,"Psicotécnico Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué palabra está mal escrita?","Convalecencia","Conbalecencia","Convivencia","Convicción",B,"Ortografía","La palabra correcta es 'convalecencia', con 'v'.","https://www.psicotecnicostest.com/",psicotecnico
3340,"Psicotécnico Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué número completa la serie: 81, 27, 9, 3, ...?","1","0","1/3"," -3",A,"Lógica Numérica","Cada número es el anterior dividido por 3. (81/3=27; 27/3=9; 9/3=3; 3/3=1).","https://www.psicotecnicostest.com/",psicotecnico
3371,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Microsoft Word, ¿qué combinación de teclas se utiliza para justificar un párrafo?","Ctrl + J","Ctrl + T","Ctrl + Q","Ctrl + D",A,"Funcionalidad de Word","El atajo de teclado para justificar un párrafo (alinear a ambos márgenes) es Ctrl + J.","https://support.microsoft.com/es-es/office/m%C3%A9todos-abreviados-de-teclado-de-microsoft-word-95ef89dd-7142-4b50-afb2-f762f663ceb2",ofimatica
3372,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, para fijar una celda en una fórmula (referencia absoluta), ¿qué símbolo se utiliza?","@","$","#","&",B,"Funcionalidad de Excel","El símbolo del dólar ($) se utiliza para crear referencias absolutas, por ejemplo, $A$1.","https://support.microsoft.com/es-es/office/cambiar-entre-referencias-relativas-absolutas-y-mixtas-53242668-4543-4369-8a4a-5eee56da3358",ofimatica
3373,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué vista de Word está optimizada para la lectura en pantalla, mostrando el texto en columnas?","Vista de Impresión","Modo Lectura","Vista Diseño Web","Vista Esquema",B,"Funcionalidad de Word","El Modo Lectura está diseñado para facilitar la lectura de documentos largos en pantalla, reorganizando el contenido en columnas.","https://support.microsoft.com/es-es/office/leer-documentos-en-word-5b341c2d-3c2a-431a-9e2a-5c1a7421cb31",ofimatica
